product,event,price,quantity_sold
Standard Case | iPhone 15 Pro Max,Cyber Monday,31.854305348131312,217
Standard Case | iPhone 15 Pro,No Promo,18.332009328034065,175
Premium Case | iPhone 15 Pro Max,Black Friday,31.130957784492267,190
Premium Case | iPhone 15 Pro Max,Black Friday,20.21410767863084,171
Standard Case | iPhone 15 Pro Max,Black Friday,53.83965416440171,222
Premium Case | iPhone 15 Pro Max,Cyber Monday,43.04841570724011,134
Premium Case | iPhone 15 Pro,Black Friday,29.890411118369215,170
Premium Case | iPhone 15 Pro,Black Friday,17.860125762871064,178
Standard Case | iPhone 15 Pro,Black Friday,28.9942044772048,227
Premium Case | iPhone 15 Pro,Black Friday,29.633249491203618,185
Standard Case | iPhone 15 Pro Max,Black Friday,47.83227802521289,314
Premium Case | iPhone 15 Pro,Black Friday,43.69008621098459,138
Premium Case | iPhone 15 Pro,Black Friday,54.924573415934695,131
Standard Case | iPhone 15 Pro Max,Black Friday,36.249671632287715,320
Premium Case | iPhone 15 Pro Max,Black Friday,20.381741067223576,188
Premium Case | iPhone 15 Pro Max,Black Friday,47.09601542503478,161
Standard Case | iPhone 15 Pro Max,Black Friday,49.23532718776038,220
Standard Case | iPhone 15 Pro,Black Friday,40.25747389062733,251
Premium Case | iPhone 15 Pro,Cyber Monday,49.69352309795524,100
Standard Case | iPhone 15 Pro Max,Black Friday,37.220801836397584,305
Premium Case | iPhone 15 Pro,Black Friday,38.52297732218973,187
Standard Case | iPhone 15 Pro,Black Friday,34.23934582613474,322
Premium Case | iPhone 15 Pro,Black Friday,16.143860703484282,201
Standard Case | iPhone 15 Pro Max,Cyber Monday,19.855114214698702,261
Premium Case | iPhone 15 Pro,Black Friday,16.41431335590304,192
Premium Case | iPhone 15 Pro Max,No Promo,43.63846850687012,54
Standard Case | iPhone 15 Pro,Black Friday,29.1460191484347,265
Standard Case | iPhone 15 Pro,Black Friday,37.885681102411624,235
Standard Case | iPhone 15 Pro,Cyber Monday,55.84049132667418,168
Standard Case | iPhone 15 Pro Max,Cyber Monday,26.21815031169937,284
Standard Case | iPhone 15 Pro,Cyber Monday,33.467231536603336,186
Premium Case | iPhone 15 Pro Max,Cyber Monday,48.99980123443719,122
Standard Case | iPhone 15 Pro Max,Black Friday,25.29591744712301,332
Premium Case | iPhone 15 Pro Max,Cyber Monday,18.464095942295685,148
Premium Case | iPhone 15 Pro,Black Friday,28.038815381119562,136
Premium Case | iPhone 15 Pro,Cyber Monday,22.2549579264302,133
Premium Case | iPhone 15 Pro,Black Friday,56.83639435541579,144
Premium Case | iPhone 15 Pro,Cyber Monday,51.365417080398764,98
Premium Case | iPhone 15 Pro Max,Black Friday,43.503169042969056,143
Standard Case | iPhone 15 Pro Max,Black Friday,54.215726558447294,225
Standard Case | iPhone 15 Pro Max,Black Friday,51.165243460460154,270
Standard Case | iPhone 15 Pro,Cyber Monday,23.395652649871614,234
Premium Case | iPhone 15 Pro Max,Black Friday,55.165154932049,131
Premium Case | iPhone 15 Pro,Black Friday,39.270400886204285,157
Premium Case | iPhone 15 Pro Max,Black Friday,51.334806982382815,137
Standard Case | iPhone 15 Pro,Black Friday,55.324108496557194,185
Standard Case | iPhone 15 Pro,Cyber Monday,29.310156373733875,254
Premium Case | iPhone 15 Pro Max,Black Friday,19.952336603745454,183
Premium Case | iPhone 15 Pro Max,No Promo,25.257082314387375,91
Premium Case | iPhone 15 Pro Max,Black Friday,34.219850488181535,206
Standard Case | iPhone 15 Pro Max,Black Friday,51.81066446651219,273
Premium Case | iPhone 15 Pro,Cyber Monday,53.732876246535454,88
Premium Case | iPhone 15 Pro Max,Black Friday,15.312845873903582,202
Premium Case | iPhone 15 Pro Max,Black Friday,37.983628615990455,170
Premium Case | iPhone 15 Pro Max,Black Friday,33.783495141695056,159
Standard Case | iPhone 15 Pro,Cyber Monday,24.994851471182862,226
Standard Case | iPhone 15 Pro,Black Friday,20.393941530015727,226
Standard Case | iPhone 15 Pro Max,No Promo,30.192682713163258,202
Premium Case | iPhone 15 Pro,No Promo,57.43093667606336,18
Standard Case | iPhone 15 Pro Max,Black Friday,29.544131940933987,290
Premium Case | iPhone 15 Pro,Black Friday,38.34557797845147,171
Standard Case | iPhone 15 Pro,Black Friday,46.635853150283005,221
Standard Case | iPhone 15 Pro,Black Friday,31.363332107068228,269
Standard Case | iPhone 15 Pro,Black Friday,58.73019372244323,187
Standard Case | iPhone 15 Pro Max,Black Friday,58.310128272395005,252
Premium Case | iPhone 15 Pro Max,Black Friday,26.330203312141386,157
Premium Case | iPhone 15 Pro Max,Cyber Monday,37.376182765157346,133
Standard Case | iPhone 15 Pro,Cyber Monday,28.539523941754634,262
Premium Case | iPhone 15 Pro Max,Cyber Monday,27.81782224698604,127
Premium Case | iPhone 15 Pro Max,Black Friday,16.659912630953976,176
Standard Case | iPhone 15 Pro Max,Black Friday,42.43039502909536,281
Premium Case | iPhone 15 Pro,Black Friday,37.62055604529877,170
Standard Case | iPhone 15 Pro,No Promo,17.31654380624952,166
Standard Case | iPhone 15 Pro,Black Friday,27.539090890647515,271
Standard Case | iPhone 15 Pro Max,Cyber Monday,55.87196486849942,209
Standard Case | iPhone 15 Pro Max,Black Friday,25.78028508001376,325
Premium Case | iPhone 15 Pro Max,Black Friday,21.520269244105037,198
Standard Case | iPhone 15 Pro,Cyber Monday,37.025374212490334,199
Premium Case | iPhone 15 Pro,Black Friday,59.35427043497703,128
Standard Case | iPhone 15 Pro Max,Cyber Monday,25.892487218017518,301
Premium Case | iPhone 15 Pro,No Promo,45.246099633264535,47
Premium Case | iPhone 15 Pro,Black Friday,49.27288268979229,128
Standard Case | iPhone 15 Pro,Black Friday,25.693689479657984,291
Standard Case | iPhone 15 Pro,Black Friday,47.76973568753368,222
Standard Case | iPhone 15 Pro Max,No Promo,31.550240972366396,134
Standard Case | iPhone 15 Pro,Black Friday,43.453762376711076,256
Standard Case | iPhone 15 Pro,Black Friday,43.50883698424026,220
Standard Case | iPhone 15 Pro,Black Friday,39.10986078336413,239
Premium Case | iPhone 15 Pro,Cyber Monday,19.063039652448374,151
Standard Case | iPhone 15 Pro Max,Black Friday,52.58861230151571,248
Premium Case | iPhone 15 Pro Max,Cyber Monday,29.435102923728113,152
Premium Case | iPhone 15 Pro,No Promo,23.39333296799344,74
Standard Case | iPhone 15 Pro,Black Friday,16.834881369964375,281
Premium Case | iPhone 15 Pro,Black Friday,41.59018244347088,155
Standard Case | iPhone 15 Pro,No Promo,45.49039628290271,135
Standard Case | iPhone 15 Pro,Black Friday,15.746452301753527,285
Premium Case | iPhone 15 Pro,Cyber Monday,38.04418762346764,113
Standard Case | iPhone 15 Pro Max,Black Friday,25.192309883907207,324
Standard Case | iPhone 15 Pro,Black Friday,44.032775568425244,219
Standard Case | iPhone 15 Pro Max,Cyber Monday,22.846489305224615,273
Premium Case | iPhone 15 Pro Max,Black Friday,46.09219821461097,162
Standard Case | iPhone 15 Pro,Black Friday,32.40309058352418,304
Standard Case | iPhone 15 Pro Max,Black Friday,57.152849493153056,225
Standard Case | iPhone 15 Pro Max,Black Friday,21.1884424865697,279
Premium Case | iPhone 15 Pro Max,Black Friday,30.347985797261632,180
Standard Case | iPhone 15 Pro Max,Black Friday,20.106308455826507,281
Standard Case | iPhone 15 Pro Max,No Promo,56.61121282253532,140
Premium Case | iPhone 15 Pro Max,Black Friday,54.48027090214415,111
Standard Case | iPhone 15 Pro,Black Friday,26.607373247182004,226
Standard Case | iPhone 15 Pro Max,Black Friday,44.69928207153806,229
Standard Case | iPhone 15 Pro Max,Cyber Monday,51.77499900905471,227
Standard Case | iPhone 15 Pro Max,Black Friday,39.98403652197581,322
Premium Case | iPhone 15 Pro,No Promo,38.83427602602029,59
Premium Case | iPhone 15 Pro Max,Black Friday,25.883353090520323,182
Premium Case | iPhone 15 Pro,Black Friday,19.189624551265464,187
Premium Case | iPhone 15 Pro Max,Black Friday,55.374709107899704,152
Standard Case | iPhone 15 Pro,Black Friday,55.51881257234987,184
Standard Case | iPhone 15 Pro,Black Friday,43.48956557729706,240
Standard Case | iPhone 15 Pro Max,Black Friday,30.25634059719153,315
Premium Case | iPhone 15 Pro Max,Cyber Monday,30.714430857569738,147
Standard Case | iPhone 15 Pro,Black Friday,47.668005549160775,230
Premium Case | iPhone 15 Pro Max,Black Friday,55.36996169786597,149
Standard Case | iPhone 15 Pro,Black Friday,54.91888909193028,143
Premium Case | iPhone 15 Pro,Cyber Monday,50.09439956359307,109
Standard Case | iPhone 15 Pro,Black Friday,43.891424076942954,216
Premium Case | iPhone 15 Pro,Black Friday,18.786298424777197,146
Standard Case | iPhone 15 Pro,Black Friday,22.27329213425762,277
Standard Case | iPhone 15 Pro Max,Cyber Monday,55.43493848371857,227
Premium Case | iPhone 15 Pro,Black Friday,42.289307684681546,156
Standard Case | iPhone 15 Pro,Black Friday,15.413867322748334,296
Standard Case | iPhone 15 Pro Max,Cyber Monday,19.566219428971444,300
Premium Case | iPhone 15 Pro,Cyber Monday,44.85757960986251,129
Standard Case | iPhone 15 Pro Max,Black Friday,15.22777127307984,353
Premium Case | iPhone 15 Pro Max,Cyber Monday,22.23636231378744,160
Premium Case | iPhone 15 Pro Max,Black Friday,39.69302052149638,169
Premium Case | iPhone 15 Pro,Black Friday,46.135283896171195,124
Standard Case | iPhone 15 Pro,Black Friday,44.338256677617025,226
Premium Case | iPhone 15 Pro,Black Friday,25.092118925725188,164
Standard Case | iPhone 15 Pro Max,Black Friday,47.04806496063912,319
Standard Case | iPhone 15 Pro,No Promo,25.676208937356,150
Premium Case | iPhone 15 Pro Max,Black Friday,29.642986417167048,184
Standard Case | iPhone 15 Pro,Black Friday,48.592113230311085,237
Premium Case | iPhone 15 Pro Max,Black Friday,44.23348045712466,160
Standard Case | iPhone 15 Pro,No Promo,53.215053472238004,127
Standard Case | iPhone 15 Pro,Black Friday,44.592580153515456,215
Standard Case | iPhone 15 Pro,Black Friday,40.573887150096226,244
Standard Case | iPhone 15 Pro Max,Black Friday,19.215364552264163,267
Standard Case | iPhone 15 Pro Max,Black Friday,31.54721113767451,239
Premium Case | iPhone 15 Pro,No Promo,26.934106545677643,70
Premium Case | iPhone 15 Pro,No Promo,25.97953395205876,75
Premium Case | iPhone 15 Pro Max,Black Friday,58.785474963860054,119
Standard Case | iPhone 15 Pro Max,No Promo,32.68939761000422,162
Premium Case | iPhone 15 Pro Max,Black Friday,55.1420949829701,113
Premium Case | iPhone 15 Pro,Cyber Monday,43.401238169876834,115
Premium Case | iPhone 15 Pro Max,Black Friday,50.76650865937418,121
Premium Case | iPhone 15 Pro,Black Friday,37.618669189733644,180
Standard Case | iPhone 15 Pro Max,Black Friday,40.960674808186155,270
Standard Case | iPhone 15 Pro,Black Friday,37.163296221848874,204
Standard Case | iPhone 15 Pro Max,Black Friday,23.785934450912002,279
Premium Case | iPhone 15 Pro Max,Black Friday,47.510345186767736,140
Premium Case | iPhone 15 Pro Max,Black Friday,27.63475630983851,190
Standard Case | iPhone 15 Pro Max,Cyber Monday,16.09421848941542,295
Standard Case | iPhone 15 Pro Max,Black Friday,44.046253315822554,206
Premium Case | iPhone 15 Pro,Black Friday,22.9699805733172,185
Premium Case | iPhone 15 Pro Max,No Promo,57.320636295881144,23
Premium Case | iPhone 15 Pro Max,Black Friday,57.92678596511643,137
Standard Case | iPhone 15 Pro Max,Black Friday,56.16889755992018,240
Standard Case | iPhone 15 Pro,Black Friday,31.657141511495,231
Premium Case | iPhone 15 Pro Max,Cyber Monday,15.695547743799034,146
Standard Case | iPhone 15 Pro,Black Friday,56.77433531644764,184
Standard Case | iPhone 15 Pro Max,Black Friday,34.268286674279146,312
Standard Case | iPhone 15 Pro Max,Cyber Monday,58.49946685696513,188
Premium Case | iPhone 15 Pro,No Promo,58.36289896901638,20
Premium Case | iPhone 15 Pro Max,Black Friday,53.3854254960312,138
Standard Case | iPhone 15 Pro,Black Friday,28.250200143131355,235
Premium Case | iPhone 15 Pro,Black Friday,32.329397787086634,145
Premium Case | iPhone 15 Pro Max,Cyber Monday,53.30115021825856,79
Premium Case | iPhone 15 Pro,Black Friday,29.261490232032493,146
Standard Case | iPhone 15 Pro Max,Black Friday,22.627173600874162,299
Premium Case | iPhone 15 Pro Max,No Promo,40.05605681062576,65
Premium Case | iPhone 15 Pro,Black Friday,57.12696483723514,102
Premium Case | iPhone 15 Pro,Black Friday,46.32134085037379,165
Standard Case | iPhone 15 Pro,Black Friday,40.65275265402143,226
Premium Case | iPhone 15 Pro,Black Friday,19.372942219684585,189
Premium Case | iPhone 15 Pro Max,Black Friday,42.67532520146264,191
Premium Case | iPhone 15 Pro Max,Black Friday,59.552423254691846,136
Standard Case | iPhone 15 Pro,Black Friday,21.30378068564358,253
Premium Case | iPhone 15 Pro Max,Black Friday,38.32483435636816,153
Standard Case | iPhone 15 Pro Max,No Promo,54.48178823675799,101
Premium Case | iPhone 15 Pro Max,Black Friday,48.3345877989392,139
Premium Case | iPhone 15 Pro Max,No Promo,46.36570834478706,49
Premium Case | iPhone 15 Pro,Black Friday,46.611783779419916,134
Premium Case | iPhone 15 Pro,Cyber Monday,31.177101804888984,133
Premium Case | iPhone 15 Pro Max,Cyber Monday,28.2116329919022,144
Standard Case | iPhone 15 Pro,Black Friday,51.421251996533115,211
Premium Case | iPhone 15 Pro,Cyber Monday,51.455102760563136,91
Standard Case | iPhone 15 Pro,Cyber Monday,54.01825433610467,173
Premium Case | iPhone 15 Pro Max,Black Friday,56.09582486504121,139
Premium Case | iPhone 15 Pro Max,Black Friday,38.0104079487422,150
Standard Case | iPhone 15 Pro Max,Black Friday,37.56823326092398,317
Premium Case | iPhone 15 Pro,Cyber Monday,50.92328305350488,99
Premium Case | iPhone 15 Pro Max,Cyber Monday,44.24837688499943,119
Standard Case | iPhone 15 Pro Max,Cyber Monday,46.588509476596656,233
Premium Case | iPhone 15 Pro,Black Friday,50.81067012462455,144
Premium Case | iPhone 15 Pro Max,Cyber Monday,55.05024038179048,104
Premium Case | iPhone 15 Pro Max,Black Friday,30.209782058319114,187
Premium Case | iPhone 15 Pro,Black Friday,31.901232868797482,163
Premium Case | iPhone 15 Pro,Black Friday,19.229187292839107,194
Premium Case | iPhone 15 Pro,Black Friday,41.02260634482783,141
Premium Case | iPhone 15 Pro Max,Black Friday,16.617402320853394,194
Premium Case | iPhone 15 Pro Max,Black Friday,35.95191081596071,173
Standard Case | iPhone 15 Pro Max,Black Friday,39.41900856184095,264
Standard Case | iPhone 15 Pro,Black Friday,27.8943563457728,252
Premium Case | iPhone 15 Pro,Black Friday,41.58749672560548,127
Premium Case | iPhone 15 Pro Max,Black Friday,16.372511247257226,179
Premium Case | iPhone 15 Pro Max,Black Friday,16.68066849371465,194
Premium Case | iPhone 15 Pro,Black Friday,52.01702522968462,140
Standard Case | iPhone 15 Pro,Black Friday,31.20857886350683,223
Premium Case | iPhone 15 Pro,Black Friday,20.717723069334816,212
Standard Case | iPhone 15 Pro,Black Friday,38.500946702466194,219
Premium Case | iPhone 15 Pro Max,Black Friday,49.64970988943749,164
Standard Case | iPhone 15 Pro,Black Friday,24.711946237357942,272
Standard Case | iPhone 15 Pro Max,Black Friday,43.03007141185501,245
Premium Case | iPhone 15 Pro Max,Cyber Monday,18.84063592471956,181
Standard Case | iPhone 15 Pro Max,Black Friday,17.325677452587346,252
Premium Case | iPhone 15 Pro,Black Friday,38.91095842056666,181
Premium Case | iPhone 15 Pro,Black Friday,39.32858047245479,182
Premium Case | iPhone 15 Pro,Black Friday,43.6843455674193,144
Standard Case | iPhone 15 Pro,Black Friday,47.67411001751977,261
Premium Case | iPhone 15 Pro Max,Black Friday,58.91334357581406,121
Premium Case | iPhone 15 Pro,Black Friday,38.23351567355379,171
Premium Case | iPhone 15 Pro,Black Friday,29.533041282356066,182
Premium Case | iPhone 15 Pro Max,Black Friday,50.78337876459167,143
Premium Case | iPhone 15 Pro,Cyber Monday,27.187451306793342,151
Standard Case | iPhone 15 Pro Max,Cyber Monday,34.75371393175362,258
Premium Case | iPhone 15 Pro Max,Cyber Monday,18.53053716040197,119
Premium Case | iPhone 15 Pro Max,No Promo,16.140783453695587,101
Premium Case | iPhone 15 Pro Max,Black Friday,58.31917866050663,102
Standard Case | iPhone 15 Pro Max,Black Friday,52.61910542304926,272
Premium Case | iPhone 15 Pro Max,Black Friday,46.31883927421641,174
Standard Case | iPhone 15 Pro Max,Black Friday,33.40288249864214,245
Premium Case | iPhone 15 Pro Max,Cyber Monday,22.79824440318806,140
Standard Case | iPhone 15 Pro,Black Friday,22.039666920198872,227
Premium Case | iPhone 15 Pro,No Promo,26.26093041740679,74
Standard Case | iPhone 15 Pro,Black Friday,39.71519991177542,232
Premium Case | iPhone 15 Pro,No Promo,47.156816521502805,47
Standard Case | iPhone 15 Pro Max,Black Friday,44.70888195229791,300
Standard Case | iPhone 15 Pro,Black Friday,27.59702536256743,298
Premium Case | iPhone 15 Pro Max,Black Friday,57.96893762984374,119
Premium Case | iPhone 15 Pro,Black Friday,48.20536125130958,143
Premium Case | iPhone 15 Pro,Black Friday,39.94593236301303,133
Standard Case | iPhone 15 Pro,Black Friday,42.527433580545846,214
Standard Case | iPhone 15 Pro Max,Cyber Monday,33.88200280925055,264
Standard Case | iPhone 15 Pro,Black Friday,26.147894527552086,306
Standard Case | iPhone 15 Pro Max,Black Friday,31.01877053930677,242
Standard Case | iPhone 15 Pro Max,Black Friday,49.10307497089661,234
Premium Case | iPhone 15 Pro,Cyber Monday,15.647706988339014,147
Standard Case | iPhone 15 Pro,Black Friday,20.22326882281123,271
Standard Case | iPhone 15 Pro,Black Friday,17.070118890978875,239
Standard Case | iPhone 15 Pro Max,Black Friday,16.832796104353655,309
Standard Case | iPhone 15 Pro,Black Friday,53.495726280495326,200
Premium Case | iPhone 15 Pro Max,Black Friday,46.664603672101066,154
Premium Case | iPhone 15 Pro Max,Black Friday,36.33782230892963,183
Standard Case | iPhone 15 Pro,Black Friday,19.402537229295067,263
Standard Case | iPhone 15 Pro,Cyber Monday,37.122714380257456,194
Standard Case | iPhone 15 Pro Max,Black Friday,36.30622968512546,272
Premium Case | iPhone 15 Pro Max,Black Friday,22.794084145950684,186
Premium Case | iPhone 15 Pro Max,Black Friday,34.52332421570878,168
Premium Case | iPhone 15 Pro,No Promo,32.932713047881805,66
Standard Case | iPhone 15 Pro Max,Black Friday,42.71325441234974,313
Premium Case | iPhone 15 Pro,Cyber Monday,43.579214289043975,122
Premium Case | iPhone 15 Pro Max,Black Friday,17.038680439742002,185
Standard Case | iPhone 15 Pro Max,Black Friday,31.857567658191204,304
Standard Case | iPhone 15 Pro,Black Friday,43.16369620714064,226
Standard Case | iPhone 15 Pro Max,No Promo,37.64113163610395,190
Standard Case | iPhone 15 Pro,Black Friday,53.542042853474506,220
Standard Case | iPhone 15 Pro,Cyber Monday,44.64121342285253,189
Standard Case | iPhone 15 Pro Max,Cyber Monday,22.332049218664338,263
Standard Case | iPhone 15 Pro,Black Friday,18.175593633019343,215
Premium Case | iPhone 15 Pro,Black Friday,43.9088675192842,136
Premium Case | iPhone 15 Pro Max,Black Friday,16.193008974372983,165
Standard Case | iPhone 15 Pro,Black Friday,41.35990115730585,242
Premium Case | iPhone 15 Pro,Cyber Monday,57.31036086412309,100
Standard Case | iPhone 15 Pro,No Promo,40.89633800441455,165
Premium Case | iPhone 15 Pro Max,Black Friday,32.46764667929349,191
Premium Case | iPhone 15 Pro,Black Friday,43.947969829905894,164
Premium Case | iPhone 15 Pro Max,Cyber Monday,35.62138007211825,108
Premium Case | iPhone 15 Pro Max,Black Friday,39.55275551921707,158
Premium Case | iPhone 15 Pro,Cyber Monday,57.36591639494363,76
Premium Case | iPhone 15 Pro,Black Friday,32.37461870103484,162
Premium Case | iPhone 15 Pro,Black Friday,58.25357537207614,119
Standard Case | iPhone 15 Pro Max,Black Friday,55.74077888802287,222
Premium Case | iPhone 15 Pro,Black Friday,23.81060106551834,141
Premium Case | iPhone 15 Pro,Black Friday,18.121258539382445,203
Premium Case | iPhone 15 Pro,Black Friday,19.5350100619842,162
Premium Case | iPhone 15 Pro,Black Friday,15.819982154319737,193
Standard Case | iPhone 15 Pro,Cyber Monday,19.24993323401678,277
Standard Case | iPhone 15 Pro Max,Cyber Monday,45.73530480373606,195
Premium Case | iPhone 15 Pro Max,Black Friday,18.203489180710303,134
Premium Case | iPhone 15 Pro,Black Friday,29.35390336321926,172
Standard Case | iPhone 15 Pro,Black Friday,53.019388993625455,240
Standard Case | iPhone 15 Pro,Black Friday,16.047237108112164,327
Standard Case | iPhone 15 Pro,Black Friday,51.65108171650211,185
Premium Case | iPhone 15 Pro Max,Black Friday,27.683464864802996,194
Premium Case | iPhone 15 Pro,Black Friday,20.317417242974532,175
Standard Case | iPhone 15 Pro Max,Black Friday,46.353172441386775,254
Standard Case | iPhone 15 Pro Max,Black Friday,43.302428105094776,343
Standard Case | iPhone 15 Pro,Black Friday,54.48624060871738,172
Premium Case | iPhone 15 Pro Max,No Promo,48.07819697117486,47
Premium Case | iPhone 15 Pro Max,Black Friday,51.156641867318186,152
Premium Case | iPhone 15 Pro Max,Black Friday,27.69155576570879,206
Standard Case | iPhone 15 Pro Max,Black Friday,22.984779470087528,293
Standard Case | iPhone 15 Pro,Black Friday,48.77766382383862,230
Premium Case | iPhone 15 Pro,Cyber Monday,51.30756326702688,95
Standard Case | iPhone 15 Pro Max,Black Friday,59.5727313900303,232
Standard Case | iPhone 15 Pro,No Promo,33.56779546101419,139
Standard Case | iPhone 15 Pro,Black Friday,31.740813860675242,270
Premium Case | iPhone 15 Pro,Black Friday,49.938583233389856,137
Premium Case | iPhone 15 Pro,Cyber Monday,30.336159311385803,141
Premium Case | iPhone 15 Pro,Black Friday,56.88407965216041,125
Premium Case | iPhone 15 Pro Max,Black Friday,53.62857383293553,156
Premium Case | iPhone 15 Pro,Black Friday,34.30473123187583,170
Standard Case | iPhone 15 Pro,Black Friday,48.78919805061738,178
Premium Case | iPhone 15 Pro,Cyber Monday,48.95442933381071,118
Standard Case | iPhone 15 Pro,Black Friday,19.64057409761697,235
Standard Case | iPhone 15 Pro Max,Black Friday,55.6148808005805,217
Premium Case | iPhone 15 Pro Max,Black Friday,37.73635676015357,160
Standard Case | iPhone 15 Pro Max,Black Friday,52.190585974848375,283
Standard Case | iPhone 15 Pro Max,Black Friday,29.402232046377527,214
Standard Case | iPhone 15 Pro,Black Friday,55.29854528232902,283
Standard Case | iPhone 15 Pro Max,Black Friday,32.514075543037336,314
